cadeira,nome,foto_url,biografia,profissao,nascimento,falecimento
16,Anita Malfatti,imagens/patronos/16.png,"Pintora e desenhista brasileira. Uma das figuras mais importantes do modernismo brasileiro, participante da Semana de Arte Moderna de 1922.",Pintora,02/12/1896,06/11/1964
18,Manoel Venceslau Leite de Barros,imagens/patronos/18.png,"Poeta brasileiro, um dos maiores nomes da poesia parnasiana brasileira.",Poetista,24/12/1896,19/01/1939
19,Ruy Barbosa,imagens/patronos/19.png,"Advogado, político, diplomático, escritor e orador brasileiro. Foi Ministro da Justiça, Ministro da Fazenda e Presidente do Supremo Tribunal Federal.",Advogado e Político,19/09/1849,01/03/1923
20,Clarice Lispector,imagens/patronos/20.png,"Escritora e jornalista ucraniana-brasileira. Uma das mais importantes escritoras da literatura brasileira do século XX.",Escritora,10/12/1920,09/12/1977
21,Maria Firmina dos Reis,imagens/patronos/21.png,"Escritora, poetisa, professora e abolicionista brasileira. Autora de Úrsula, considerado o primeiro romance abolicionista do Brasil.",Escritora e Poetisa,11/10/1822,21/11/1916
23,Franklin Joaquim Cascais,imagens/patronos/23.png,"",,
25,João da Cruz e Sousa,imagens/patronos/25.png,"Poeta brasileiro, considerado o maior representante do Simbolismo na literatura brasileira.",Poetista,24/01/1861,18/03/1898
27,Ariano Vilar Suassuna,imagens/patronos/27.png,"Dramaturgo, romancista, ensaísta e professor brasileiro. Uma das figuras mais importantes da cultura brasileira.",Dramaturgo e Escritor,16/06/1927,23/03/2014
29,Maura de Senna Pereira,imagens/patronos/29.png,"",,
30,Rose Marie Muraro,imagens/patronos/30.png,"Escritora, tradutora e feminista brasileira. Uma das figuras mais importantes do feminismo no Brasil.",Escritora,19/07/1933,05/06/2023
34,Luis Gama,imagens/patronos/34.png,"Escritor, poeta, advogado, abolicionista e jornalista brasileiro. Foi o primeiro advogado negro do Brasil.",Advogado e Escritor,21/06/1830,24/08/1882
36,Machado de Assis,imagens/patronos/36.png,"Escritor, poeta, dramaturgo, contista, cronista e jornalista brasileiro. Considerado o maior nome da literatura brasileira.",Escritor,21/06/1839,29/09/1908
37,Rubem Braga,imagens/patronos/37.png,"Escritor e jornalista brasileiro. Um dos maiores cronistas da literatura brasileira.",Escritor e Jornalista,12/01/1913,12/12/1990
38,Victor Meirelles de Lima,imagens/patronos/38.png,"Pintor brasileiro, um dos mais importantes do período acadêmico brasileiro. Autor de obras como A Batalha dos Guararapes e Primeira Missa.",Pintor,29/08/1832,22/07/1903
39,Chiara Lubich,imagens/patronos/39.png,"Fundadora do Movimento dos Focolares. Uma das figuras mais importantes do ecumenismo e do diálogo inter-religioso no século XX.",Fundadora do Movimento dos Focolares,22/01/1920,14/03/2008
40,Olga Savary,imagens/patronos/40.png,"Poetisa, contista, cronista, ensaísta e jornalista brasileira. Uma das maiores poetisas brasileiras do século XX.",Poetisa,09/06/1933,29/06/2020
48,Di Cavalcanti,imagens/patronos/48.png,"Pintor, desenhista e caricaturista brasileiro. Uma das figuras mais importantes da arte brasileira do século XX.",Pintor,08/09/1897,26/10/1976
52,Cruz e Sousa,imagens/patronos/52.png,"Poeta brasileiro, considerado o maior representante do Simbolismo na literatura brasileira.",Poetista,24/01/1861,18/03/1898
53,Machado de Assis,imagens/patronos/53.png,"Escritor, poeta, dramaturgo, contista, cronista e jornalista brasileiro. Considerado o maior nome da literatura brasileira.",Escritor,21/06/1839,29/09/1908
54,Olavo Bilac,imagens/patronos/54.png,"Poeta, jornalista, professor e escritor brasileiro. Patrono da Academia Brasileira de Letras.",Poetista,16/12/1865,28/12/1918
55,Manuel Bandeira,imagens/patronos/55.png,"Poeta, tradutor e crítico literário brasileiro. Uma das figuras mais importantes da poesia brasileira do século XX.",Poetista,19/04/1886,13/10/1968
56,Castro Alves,imagens/patronos/56.png,"Poeta brasileiro, considerado o poeta dos escravos. Uma das figuras mais importantes do Romanticismo brasileiro.",Poetista,14/03/1847,06/07/1871
57,Gonzaga Duque,imagens/patronos/57.png,"Escritor, jornalista e crítico de arte brasileiro. Uma das figuras importantes do Realismo brasileiro.",Escritor,04/06/1863,05/11/1911
58,Coelho Neto,imagens/patronos/58.png,"Escritor, advogado, político e professor brasileiro. Um dos mais prolíficos escritores da literatura brasileira.",Escritor,21/02/1864,28/08/1934
59,Aluísio Azevedo,imagens/patronos/59.png,"Romancista, diplomático, caricaturista, desenhista, jornalista e político brasileiro. Uma das figuras importantes do Realismo brasileiro.",Escritor e Diplomata,14/06/1857,12/01/1913
